0_2_nega,6_1_nega,10.023441816493985
0_2_nega,1_0_nega,11.481996047167778
0_2_nega,4_2_posi,16.028791010864314
0_2_nega,7_4_nega,12.140550297781942
0_2_nega,7_7_posi,10.493213178711969
0_2_nega,4_1_posi,17.628265392504
0_2_nega,3_0_posi,14.899958977529863
0_2_nega,1_2_posi,13.292530445279468
0_2_nega,3_3_posi,13.268333066254455
0_2_nega,3_6_nega,14.485388511529473
0_2_nega,3_0_nega,13.379874863803956
0_2_nega,4_2_nega,13.172180039508502
0_2_nega,3_3_nega,15.295073870993054
0_2_nega,1_1_posi,16.234903882348995
0_2_nega,2_0_posi,14.258428889354494
0_2_nega,4_1_nega,14.310274885859053
0_2_nega,4_3_nega,11.35982684630465
0_2_nega,7_7_nega,12.758718415547156
0_2_nega,6_2_nega,14.29490339738783
0_2_nega,2_3_nega,12.872695470484926
0_2_nega,3_6_posi,16.36590102216879
0_2_nega,7_6_posi,15.446282767194091
0_2_nega,3_2_nega,15.08571732003878
0_2_nega,2_2_posi,18.141842734646442
0_2_nega,2_0_nega,15.464435841889234
0_2_nega,2_1_nega,15.504961594792888
0_2_nega,3_2_posi,17.746357890450167
0_2_nega,1_2_nega,14.954133755624198
0_2_nega,3_1_posi,18.078357497609694
0_2_nega,1_1_nega,15.845022977981277
0_2_nega,3_1_nega,15.172513619168384
0_2_nega,2_1_posi,22.847361748760704
0_2_nega,7_6_nega,14.890390483580621
0_2_nega,2_2_nega,18.47076234451056
7_0_nega,6_5_nega,10.199376799007789
7_0_nega,2_3_posi,10.466319420986652
7_0_nega,1_0_nega,10.146141267192911
7_0_nega,4_2_posi,12.747541926397824
7_0_nega,7_7_posi,10.16242733113881
7_0_nega,4_1_posi,11.732720580123157
7_0_nega,3_0_posi,14.750823499208247
7_0_nega,4_0_nega,10.534059276526726
7_0_nega,1_2_posi,11.649927984362188
7_0_nega,3_3_posi,17.35504757651387
7_0_nega,3_6_nega,11.334318762121223
7_0_nega,3_0_nega,11.800432878676261
7_0_nega,4_2_nega,10.559787890234828
7_0_nega,3_3_nega,14.621551213175827
7_0_nega,1_1_posi,16.169989819260234
7_0_nega,2_0_posi,13.490124699123976
7_0_nega,4_1_nega,15.455285514942393
7_0_nega,4_3_nega,13.828391048273355
7_0_nega,7_7_nega,12.299125768849557
7_0_nega,6_2_nega,11.407736278564403
7_0_nega,2_3_nega,11.766551162497763
7_0_nega,3_6_posi,14.3290486530614
7_0_nega,7_6_posi,15.159065225265813
7_0_nega,3_2_nega,13.103566740830525
7_0_nega,2_2_posi,19.33547375770265
7_0_nega,2_0_nega,15.43911131494563
7_0_nega,2_1_nega,13.268383495853847
7_0_nega,3_2_posi,16.54644107437612
7_0_nega,1_2_nega,14.488018702338966
7_0_nega,3_1_posi,18.999872176966026
7_0_nega,1_1_nega,17.18081683072116
7_0_nega,3_1_nega,16.123136294943134
7_0_nega,2_1_posi,16.80640935474932
7_0_nega,7_6_nega,16.73714214193035
7_0_nega,2_2_nega,19.48349606262014
0_3_nega,0_1_nega,11.154880272542085
0_3_nega,6_5_nega,10.813533672827617
0_3_nega,2_3_posi,10.533429494523403
0_3_nega,1_0_nega,10.950587752290609
0_3_nega,4_2_posi,14.174819962908337
0_3_nega,7_7_posi,10.731551653404033
0_3_nega,4_1_posi,13.482567488071837
0_3_nega,3_0_posi,16.969108815201228
0_3_nega,4_0_nega,12.377065821084319
0_3_nega,1_2_posi,11.686365337913292
0_3_nega,3_3_posi,12.53302711378703
0_3_nega,3_6_nega,12.41001818835597
0_3_nega,3_0_nega,12.449623589623855
0_3_nega,4_2_nega,12.679156011379709
0_3_nega,3_3_nega,19.891831272471485
0_3_nega,1_1_posi,15.99266231862145
0_3_nega,2_0_posi,14.373757660063115
0_3_nega,4_1_nega,15.826942300334782
0_3_nega,4_3_nega,13.79973864451766
0_3_nega,7_7_nega,12.573663922669123
0_3_nega,6_2_nega,16.105386369715283
0_3_nega,2_3_nega,15.773204148013882
0_3_nega,3_6_posi,14.567541674560637
0_3_nega,7_6_posi,17.48722012045545
0_3_nega,3_2_nega,14.50452958045398
0_3_nega,2_2_posi,19.712604564787924
0_3_nega,2_0_nega,16.133457301295383
0_3_nega,2_1_nega,15.613575393802662
0_3_nega,3_2_posi,19.016755632981802
0_3_nega,1_2_nega,23.423841445331057
0_3_nega,3_1_posi,18.58965225057305
0_3_nega,1_1_nega,15.190319321930557
0_3_nega,3_1_nega,14.903701561620423
0_3_nega,2_1_posi,32.296158472483484
0_3_nega,7_6_nega,17.3029962542685
0_3_nega,2_2_nega,19.38786217138235
0_4_nega,4_3_posi,11.515631645038619
0_4_nega,6_5_nega,10.022541284978702
0_4_nega,2_3_posi,10.485024893761896
0_4_nega,6_1_nega,10.973185977362249
0_4_nega,1_0_nega,13.8570175579764
0_4_nega,4_2_posi,12.155483198220393
0_4_nega,7_7_posi,12.046299983417647
0_4_nega,4_1_posi,13.267231663191382
0_4_nega,3_0_posi,14.22453098410356
0_4_nega,4_0_nega,11.07749705516913
0_4_nega,1_2_posi,13.768881874827281
0_4_nega,3_3_posi,13.815804300240373
0_4_nega,3_6_nega,10.8446040904118
0_4_nega,3_0_nega,15.740680424939706
0_4_nega,4_2_nega,14.771363898464319
0_4_nega,3_3_nega,13.675114188146464
0_4_nega,1_1_posi,17.41498489098961
0_4_nega,2_0_posi,13.750172278579667
0_4_nega,4_1_nega,14.257027066098477
0_4_nega,4_3_nega,12.27191409539404
0_4_nega,7_7_nega,15.03470207682873
0_4_nega,6_2_nega,13.520931568207907
0_4_nega,2_3_nega,12.976995494160974
0_4_nega,3_6_posi,14.775605923070444
0_4_nega,7_6_posi,18.758033380406857
0_4_nega,3_2_nega,14.954261860367062
0_4_nega,2_2_posi,21.739702805228276
0_4_nega,2_0_nega,17.52046081940756
0_4_nega,2_1_nega,15.947402132235593
0_4_nega,3_2_posi,21.388940726640186
0_4_nega,1_2_nega,14.561074324949425
0_4_nega,3_1_posi,19.734249151304034
0_4_nega,1_1_nega,16.35156004560531
0_4_nega,3_1_nega,20.405103663362816
0_4_nega,2_1_posi,21.2040332172464
0_4_nega,7_6_nega,16.417845258415465
0_4_nega,2_2_nega,23.824346965503164
2_7_posi,0_7_nega,18.81640784818411
2_7_posi,2_6_nega,70.55833646300849
2_7_posi,4_1_posi,12.148346142418582
